"Tissue","Comparison","Taxon","Family","Genus","AssociatedGroup","IndVal","p_value"
"Noninflamed","G1 Corticosteroids Only vs No Medication","8ec05512c8c6b5c2af1f53fccd4c1ae8","Unclassified_Family","Unclassified_Genus","Cor_only",0.870781991169794,0.002
"Noninflamed","G1 Corticosteroids Only vs No Medication","b228e20616a0a4c9165abf62df11eea5","Unclassified_Family","Unclassified_Genus","Cor_only",0.864021572609854,0.007
"Noninflamed","G1 Corticosteroids Only vs No Medication","Family_XI (family-level)","Family_XI","Unclassified_Genus","Cor_only",0.644899630805702,0.007
"Noninflamed","G1 Corticosteroids Only vs No Medication","Marinilabiliaceae (family-level)","Marinilabiliaceae","Unclassified_Genus","NoMeds",0.852889228971745,0.008
"Noninflamed","G1 Corticosteroids Only vs No Medication","5de1d6cba226a6843caa04eb17639ae6","Unclassified_Family","Unclassified_Genus","Cor_only",0.8673930205171,0.01
"Noninflamed","G2 Corticosteroids Plus Mesalamine vs No Medication","Lachnospiraceae (family-level)","Lachnospiraceae","Unclassified_Genus","Cor_Mes",0.781816392868554,0.011
"Noninflamed","G2 Corticosteroids Plus Mesalamine vs No Medication","8ec05512c8c6b5c2af1f53fccd4c1ae8","Unclassified_Family","Unclassified_Genus","Cor_Mes",0.752252357995565,0.021
"Noninflamed","G2 Corticosteroids Plus Mesalamine vs No Medication","Pseudoflavonifractor (genus-level)","Oscillospiraceae","Pseudoflavonifractor","Cor_Mes",0.60247306956487,0.03
"Noninflamed","G2 Corticosteroids Plus Mesalamine vs No Medication","Family_XI (family-level)","Family_XI","Unclassified_Genus","Cor_Mes",0.536927047474567,0.032
"Noninflamed","G2 Corticosteroids Plus Mesalamine vs No Medication","Desulfobaculum (genus-level)","Desulfovibrionaceae","Desulfobaculum","Cor_Mes",0.599238455210025,0.034
"Noninflamed","G3 Triple Therapy vs No Medication","Turicibacter (genus-level)","Erysipelotrichaceae","Turicibacter","NoMeds",0.980356888958585,0.011
"Noninflamed","G3 Triple Therapy vs No Medication","Incertae_Sedis (genus-level)","Incertae_Sedis","Incertae_Sedis","NoMeds",0.875368024821011,0.012
"Noninflamed","G3 Triple Therapy vs No Medication","Lachnospiraceae (family-level)","Lachnospiraceae","Unclassified_Genus","NoMeds",0.905514417563197,0.025
"Noninflamed","G3 Triple Therapy vs No Medication","Parasporobacterium (genus-level)","Lachnospiraceae","Parasporobacterium","NoMeds",0.917860407041238,0.027
"Noninflamed","G3 Triple Therapy vs No Medication","Asaccharospora (genus-level)","Peptostreptococcaceae","Asaccharospora","NoMeds",0.929714739462357,0.029
"Noninflamed","G4 Corticosteroids Only vs Mesalamine Only","5de1d6cba226a6843caa04eb17639ae6","Unclassified_Family","Unclassified_Genus","Cor_only",0.848554523069036,0.007
"Noninflamed","G4 Corticosteroids Only vs Mesalamine Only","Marinilabiliaceae (family-level)","Marinilabiliaceae","Unclassified_Genus","Mes_only",0.845267164039695,0.009
"Noninflamed","G4 Corticosteroids Only vs Mesalamine Only","Family_XI (family-level)","Family_XI","Unclassified_Genus","Cor_only",0.654205079897337,0.012
"Noninflamed","G4 Corticosteroids Only vs Mesalamine Only","Desulfobaculum (genus-level)","Desulfovibrionaceae","Desulfobaculum","Cor_only",0.631119993470078,0.019
"Noninflamed","G4 Corticosteroids Only vs Mesalamine Only","35fd41579b5eec27ec14c400c586c480","Unclassified_Family","Unclassified_Genus","Cor_only",0.630832817666073,0.022
"Noninflamed","G5 Mesalamine Only vs No Medication","Geofilum (genus-level)","Marinilabiliaceae","Geofilum","NoMeds",0.552084816024682,0.02
"Noninflamed","G5 Mesalamine Only vs No Medication","Geofilum (genus-level)","Marinilabiliaceae","Geofilum","NoMeds",0.52896255082857,0.025
"Noninflamed","G5 Mesalamine Only vs No Medication","Lachnospiraceae (family-level)","Lachnospiraceae","Unclassified_Genus","NoMeds",0.583760789938228,0.026
"Noninflamed","G5 Mesalamine Only vs No Medication","Lachnospiraceae (family-level)","Lachnospiraceae","Unclassified_Genus","Mes_only",0.487024021757996,0.031
"Noninflamed","G5 Mesalamine Only vs No Medication","224d266b147588a000917723c0268775","Unclassified_Family","Unclassified_Genus","Mes_only",0.591718312998394,0.037
