"FeatureID","s.Cor_Mes","s.NoMeds","index","stat","p.value","Kingdom","Phylum","Class","Order","Family","Genus","Species","Comparison","Tissue","ComparisonGroup1","ComparisonGroup2","DisplayTaxon"
"c7d1ed6c70202259164edf3ee7806f0c",1,0,1,0.781816392868554,0.011,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Unclassified_Genus","Unclassified_Species","G2 Corticosteroids Plus Mesalamine vs No Medication","Noninflamed","Cor_Mes","NoMeds","Lachnospiraceae (family-level)"
"8ec05512c8c6b5c2af1f53fccd4c1ae8",1,0,1,0.752252357995565,0.021,"Unassigned",NA,NA,NA,"Unclassified_Family","Unclassified_Genus","Unclassified_Species","G2 Corticosteroids Plus Mesalamine vs No Medication","Noninflamed","Cor_Mes","NoMeds","8ec05512c8c6b5c2af1f53fccd4c1ae8"
"9be8e4d4919ec569eb355cb676c02eef",1,0,1,0.60247306956487,0.03,"Bacteria","Bacillota","Clostridia","Oscillospirales","Oscillospiraceae","Pseudoflavonifractor","Unclassified_Species","G2 Corticosteroids Plus Mesalamine vs No Medication","Noninflamed","Cor_Mes","NoMeds","Pseudoflavonifractor (genus-level)"
"3678d26eb8e3fd26e603acd051347085",1,0,1,0.536927047474567,0.032,"Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Family_XI","Unclassified_Genus","Unclassified_Species","G2 Corticosteroids Plus Mesalamine vs No Medication","Noninflamed","Cor_Mes","NoMeds","Family_XI (family-level)"
"0b9d6ae30698fe3144a187eaaafdaef8",1,0,1,0.599238455210025,0.034,"Bacteria","Thermodesulfobacteriota","Desulfovibrionia","Desulfovibrionales","Desulfovibrionaceae","Desulfobaculum","Unclassified_Species","G2 Corticosteroids Plus Mesalamine vs No Medication","Noninflamed","Cor_Mes","NoMeds","Desulfobaculum (genus-level)"
"80c3a5fe68825d1c462d469aad9d30cd",0,1,2,0.667436851605073,0.049,"Bacteria","Bacillota","Clostridia","Oscillospirales","Ruminococcaceae","Unclassified_Genus","Unclassified_Species","G2 Corticosteroids Plus Mesalamine vs No Medication","Noninflamed","Cor_Mes","NoMeds","Ruminococcaceae (family-level)"
