"FeatureID","s.Mes_only","s.NoMeds","index","stat","p.value","Kingdom","Phylum","Class","Order","Family","Genus","Species","Comparison","Tissue","ComparisonGroup1","ComparisonGroup2","DisplayTaxon"
"b24ef5fe8c1ad555a6db6fb7800398d1",0,1,2,0.552084816024682,0.02,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinilabiliaceae","Geofilum","Unclassified_Species","G5 Mesalamine Only vs No Medication","Noninflamed","Mes_only","NoMeds","Geofilum (genus-level)"
"885a1689d41a7253eb62cb6e0ab97aea",0,1,2,0.52896255082857,0.025,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Marinilabiliaceae","Geofilum","Unclassified_Species","G5 Mesalamine Only vs No Medication","Noninflamed","Mes_only","NoMeds","Geofilum (genus-level)"
"73095392f7c7ecdff313b8558644334c",0,1,2,0.583760789938228,0.026,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Unclassified_Genus","Unclassified_Species","G5 Mesalamine Only vs No Medication","Noninflamed","Mes_only","NoMeds","Lachnospiraceae (family-level)"
"2afd81e05992550f91838c57bdeb8158",1,0,1,0.487024021757996,0.031,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Unclassified_Genus","Unclassified_Species","G5 Mesalamine Only vs No Medication","Noninflamed","Mes_only","NoMeds","Lachnospiraceae (family-level)"
"224d266b147588a000917723c0268775",1,0,1,0.591718312998394,0.037,"Bacteria","Bacteroidota","Bacteroidia","Bacteroidales","Unclassified_Family","Unclassified_Genus","Unclassified_Species","G5 Mesalamine Only vs No Medication","Noninflamed","Mes_only","NoMeds","224d266b147588a000917723c0268775"
"c39cea2193e0d56af9669a1b2d5c21be",1,0,1,0.443582329208536,0.039,"Bacteria","Bacillota","Clostridia","Christensenellales","Christensenellaceae","Christensenellaceae_R-7_group","Unclassified_Species","G5 Mesalamine Only vs No Medication","Noninflamed","Mes_only","NoMeds","Christensenellaceae_R-7_group (genus-level)"
"9cdb9dbe98d86651359273ea1c595c84",1,0,1,0.445095004354756,0.043,"Bacteria","Bacillota","Clostridia","Oscillospirales","Oscillospiraceae","UCG-002","Unclassified_Species","G5 Mesalamine Only vs No Medication","Noninflamed","Mes_only","NoMeds","UCG-002 (genus-level)"
