"FeatureID","s.NoMeds","s.Triple_Therapy","index","stat","p.value","Kingdom","Phylum","Class","Order","Family","Genus","Species","Comparison","Tissue","ComparisonGroup1","ComparisonGroup2","DisplayTaxon"
"c96cf2618b5bae7bc0014b73816f4454",0,1,2,0.980356888958585,0.011,"Bacteria","Bacillota","Bacilli","Erysipelotrichales","Erysipelotrichaceae","Turicibacter","Unclassified_Species","G3 Triple Therapy vs No Medication","Noninflamed","Triple_Therapy","NoMeds","Turicibacter (genus-level)"
"f2cbb29998f80ea0d81f9cde98ee136e",0,1,2,0.875368024821011,0.012,"Bacteria","Bacillota","Clostridia","MAT-CR-H4-C10","Incertae_Sedis","Incertae_Sedis","Unclassified_Species","G3 Triple Therapy vs No Medication","Noninflamed","Triple_Therapy","NoMeds","Incertae_Sedis (genus-level)"
"c7d1ed6c70202259164edf3ee7806f0c",0,1,2,0.905514417563197,0.025,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Unclassified_Genus","Unclassified_Species","G3 Triple Therapy vs No Medication","Noninflamed","Triple_Therapy","NoMeds","Lachnospiraceae (family-level)"
"af2150fef76b295092cd60a788cbe500",0,1,2,0.917860407041238,0.027,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Parasporobacterium","Unclassified_Species","G3 Triple Therapy vs No Medication","Noninflamed","Triple_Therapy","NoMeds","Parasporobacterium (genus-level)"
"9eaff8c3aca7b74962decea682803d9c",0,1,2,0.929714739462357,0.029,"Bacteria","Bacillota","Clostridia","Peptostreptococcales-Tissierellales","Peptostreptococcaceae","Asaccharospora","Unclassified_Species","G3 Triple Therapy vs No Medication","Noninflamed","Triple_Therapy","NoMeds","Asaccharospora (genus-level)"
"b63160ce9a40399735fc54217006845d",0,1,2,0.858708658326552,0.035,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","[Acetivibrio]_ethanolgignens_group","Unclassified_Species","G3 Triple Therapy vs No Medication","Noninflamed","Triple_Therapy","NoMeds","[Acetivibrio]_ethanolgignens_group (genus-level)"
"9df251784dde31e05f02b2ee1029d71c",0,1,2,0.880927116887745,0.042,"Bacteria","Bacillota","Clostridia","Lachnospirales","Lachnospiraceae","Murimonas","Unclassified_Species","G3 Triple Therapy vs No Medication","Noninflamed","Triple_Therapy","NoMeds","Murimonas (genus-level)"
"5de1d6cba226a6843caa04eb17639ae6",0,1,2,0.887762878464316,0.045,"Unassigned",NA,NA,NA,"Unclassified_Family","Unclassified_Genus","Unclassified_Species","G3 Triple Therapy vs No Medication","Noninflamed","Triple_Therapy","NoMeds","5de1d6cba226a6843caa04eb17639ae6"
